Đây là ChatBot là cố vấn cho Viện quốc tế của đại học Hutech, tên là HuBot.
Xin chào	Chào bạn, tôi là cố vấn cho Viện quốc tế của đại học Hutech. Tôi có thể giúp gì được cho bạn?
bạn tên là gì?	Chào bạn, tôi tên là Hubot, tôi là cố vấn cho Viện quốc tế của đại học Hutech. Tôi có thể giúp gì được cho bạn?
học phí hutech là bao nhiêu?	Học phí tại Đại học Hutech được tính theo một hệ thống tuần tự và tùy thuộc vào loại học phần mà bạn đăng ký cho. Chi tiết về học phí và các học phí khác của Viện quốc tế của đại học Hutech có thể được tìm thấy ở trang web chính thức của đại học trên địa chỉ https://hutech.edu.com
Học phí 1 tín chỉ là bao nhiêu tiền?	Hiện tại năm 2023, học phí 1 tín chỉ tại Viện quốc tế của Đại học Hutech là 1.900.000 đồng/tín chỉ, mỗi năm học phí có thể tăng từ 5%-10%.
cần bao nhiêu tín chỉ để tốt nghiệp công nghệ thông tin?	Để tốt nghiệp với chuyên ngành Công nghệ thông tin, bạn sẽ cần đạt ít nhất 173 tín chỉ, bao gồm cả các học phần bắt buộc và tự chọn.
Trưởng ngành của ngành Công nghệ thông tin là ai?	Hiện tại, trưởng ngành của ngành Công nghệ thông tin tại Viện quốc tế của Đại học Hutech là TS. Lê Thị Ngọc Thơ.
Viện trưởng Viện đào tạo quốc tế là ai?	Viện trưởng Viện đào tạo quốc tế của Đại học Hutech hiện tại là TS. Nguyễn Thúy Hồng Vân.
địa chỉ các cơ sở của đại học hutech?	Cơ sở A, B: 475A Điện Biên Phủ, P.25, Q.Bình Thạnh, Cơ sở U: 31/36 Ung Văn Khiêm, P.25, Q.Bình Thạnh, Cơ sở E: Phân khu E1, Khu Công Nghệ cao TP.HCM, Phường Hiệp Phú, TP.Thủ Đức, Cơ sở R: Viện Công nghệ Cao Hutech, Lô E2B4, đường D1, Phường Long Thạnh Mỹ, khu Công Nghệ Cao, TP.Thủ Đức.
Hutech viết tắt là gì?	Hutech viết tắt là Hochiminh City University of Technology
Các chương trình đào tạo có trong Viện Quốc Tế?	Có 2 chương trình chính là: Chương trình Chuẩn Quốc Tế và Chương trình Liên Kết ( bao gồm Đại học Lincoln - Hoa Kì, Đại học Mở Malaysia - Malaysia, Đại học CY CERGY PARIS - Pháp ).
Các ngành có trong Chương trình Chuẩn Quốc Tế?	Bao gồm 10 ngành: Tài chính - ngân hàng, Quan hệ công chúng, Quản trị kinh doanh, Ngôn ngữ Anh, Công nghệ thông tin, Quản trị dịch vụ du lịch và lữ hành, Công nghệ kỹ thuật ô tô, Digital Marketing, Logistics và quản lí chuỗi cung ứng.
Các ngành có trong Chương trình Liên kết với Đại học Mở Malaysia - Malaysia?	Bao gồm 4 ngành: Công nghệ thông tin, Quản trị kinh doanh, Ngôn ngữ Anh, Marketing.
Các ngành có trong Chương trình Liên kết với Đại học Lincoln - Hoa Kì?	Có ngành: Quản trị kinh doanh.
Các ngành có trong Chương trình Liên kết với Đại học CY CERGY PARIS - Pháp?	Bao gồm 3 ngành: Quản trị khách sạn, Quản trị nhà hàng và nghệ thuật ẩm thực, Quản trị sự kiện và yến tiệc.
Thời gian mà Chương trình Liên kết Đại học Mở Malaysia đào tạo là bao lâu?	Thời gian đạo tạo thường là 11 học kì, tương đương với 3,5 năm.
Học phí cho mỗi kì của Chương trình Liên kết Đại học Mở Malaysia là bao nhiêu?	Học phí cho mỗi học kì là 25.000.000 đồng và không tăng qua mỗi năm.
Thời gian mà Chương trình Liên kết Đại học Lincoln - Hoa Kì đào tạo là bao lâu?	 Thời gian đạo tạo thường là 11 học kì, tương đương với 3,5 năm.
Học phí cho mỗi kì của Chương trình Liên kết Đại học Lincoln là bao nhiêu?	Học phí cho mỗi học kì từ học kì 1 đến học kì 8 là 25.000.000 đồng và từ học kì 9 đến học kì 11 là 50.000.000 đồng. Sinh viên nếu có nhu cầu có thể học 2 học kì tại Hoa Kì với chi phí là 175.000.000 đồng/kỳ ( chưa bao gồm phí ăn và ở) . Sinh viên khi học chương trình Liên kết Đại học Lincoln sẽ được học 100% với giảng viên Hoa Kì tại Hutech.
Thời gian mà Chương trình Liên kết Đại học CY CERGY PARIS - Pháp đào tạo là bao lâu?	Chương trình cử nhân của đại học CY Cergy Paris - HUTECH có thời gian đào tạo 3.5 năm (07 học kỳ)
Học phí cho mỗi học kì Chương trình Liên kết Đại học CY Cergy Paris là bao nhiêu?	Học phí học kỳ 1-5 có mức học phí 35 triệu đồng/học kỳ, học kỳ 6-7 gồm 03 đợt có học phí 40 triệu đồng/đợt. Hoàn thành chương trình, sinh viên nhận bằng Cử nhân do ĐH CY Cergy Paris cấp và được Bộ GD&ĐT Việt Nam công nhận. Với bằng cấp này, sinh viên có thể dễ dàng ứng tuyển vào các doanh nghiệp quốc tế, hoặc tiếp tục học lên Thạc sĩ tại Pháp hay bất kỳ quốc gia phát triển nào trên thế giới.
Các quyền lợi mà sinh viên được nhận khi tham gia Chương trình Chuẩn Quốc Tế?	Các quyền lợi của sinh viên: Các lớp học với quy mô nhỏ ( 25-30 sinh viên/lớp), Sinh viên được hỗ trợ và nâng cao Tiếng Anh miễn phí trong toàn khóa học, Chương trình bao gồm lộ trình đào tạo theo phương pháp IELTS tương đương từ 5.5 trở lên theo chuẩn quốc tế với đội ngũ giảng viên dày dặn kinh nghiệm, bằng cấp quốc tế sẽ giúp sinh viên hoàn thiện cả 4 kỹ năng (nghe, nói, đọc, viết), Trải nghiệm kì doanh nghiệp từ năm thứ nhất, Chương trình đào tạo tiên tiến, giảng viên đẳng cấp Quốc tế, Phát triển kĩ năng chuyên môn thông qua hệ thống doanh nghiệp, Học tập, giao lưu và chuyển tiếp các trường Đại học nước ngoài danh tiếng, Năng động, tự tin hội nhập văn hóa quốc tế, Triển vọng 100% có việc làm ngay sau khi tốt nghiệp, Sẵn sàng trở thành công dân toàn cầu với mức thu nhập vượt trội.
Các quyền lợi mà sinh viên được nhận khi tham gia Chương trình liên kết Đại học Mở Malaysia?	Các quyền lợi của sinh viên: Giảng viên Quốc tế trực tiếp giảng dạy, Chương trình đào tạo bằng tiếng Anh, Hỗ trợ và nâng cao tiếng Anh miễn phí trong toàn khóa học, Chương trình bao gồm lộ trình đào tạo IELTS tương đương từ 5.5 trở lên với đội ngũ giảng viên dày dặn kinh nghiệm, bằng cấp quốc tế sẽ giúp sinh viên hoàn thiện cả 4 kỹ năng (nghe, nói, đọc, viết), Môi trường đào tạo chuẩn Quốc tế, trang thiết bị hiện đại, Thư viện tiện nghi với hàng chục ngàn đầu sách tham khảo, Tham gia các CLB, hoạt động văn nghệ, thể thao, Đoàn - Hội, .., Tham quan, thực tập tại các công ty, tập đoàn hàng đầu.
Các quyền lợi mà sinh viên được nhận khi tham gia Chương trình liên kết Đại học Lincoln - Hoa Kì?	Các quyền lợi của sinh viên: Sỉ số lớp giới hạn, Phòng học được trang bị đầy đủ các trang thiết bị hiện đại phục vụ cho việc giảng dạy và học tập, Sinh viên được tham gia các hoạt động ngoại khoá để rèn luyện toàn diện tố chất và kỹ năng như kỹ năng làm việc nhóm, tư duy, sáng tạo, kỹ năng giao tiếp, thuyết trình,.., Chính sách học bổng có sinh viên có thành tích xuất sắc, Được giới thiệu và hỗ trợ việc làm, thực tập.
